"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"R1_MN008","433","201504010000","0","3","0"
"R1_MN008","433","201504010100","0","3","0"
"R1_MN008","433","201504010200","0","3","0"
"R1_MN008","433","201504010300","0","3","0"
"R1_MN008","433","201504010400","0","3","0"
"R1_MN008","433","201504010500","0","3","0"
"R1_MN008","433","201504010600","0","3","0"
"R1_MN008","433","201504010700","0","3","0"
"R1_MN008","433","201504010800","0.1","3","0"
"R1_MN008","433","201504010900","0","3","0"
"R1_MN008","433","201504011000","0","3","0"
"R1_MN008","433","201504011100","0","3","0"
"R1_MN008","433","201504011200","1.1","3","0"
"R1_MN008","433","201504011300","0","3","0"
"R1_MN008","433","201504011400","0","3","0"
"R1_MN008","433","201504011500","0","3","0"
"R1_MN008","433","201504011600","0","3","0"
"R1_MN008","433","201504011700","0.1","3","0"
"R1_MN008","433","201504011800","0.5","3","0"
"R1_MN008","433","201504011900","0.9","3","0"
"R1_MN008","433","201504012000","0","3","0"
"R1_MN008","433","201504012100","0","3","0"
"R1_MN008","433","201504012200","0","3","0"
"R1_MN008","433","201504012300","0","3","0"
"R1_MN008","433","201504020000","0","3","0"
"R1_MN008","433","201504020100","0","3","0"
"R1_MN008","433","201504020200","0","3","0"
"R1_MN008","433","201504020300","0.5","3","0"
"R1_MN008","433","201504020400","0.5","3","0"
"R1_MN008","433","201504020500","0.4","3","0"
"R1_MN008","433","201504020600","0.7","3","0"
"R1_MN008","433","201504020700","0.2","3","0"
"R1_MN008","433","201504020800","0","3","0"
"R1_MN008","433","201504020900","0","3","0"
"R1_MN008","433","201504021000","0","3","0"
"R1_MN008","433","201504021100","0","3","0"
"R1_MN008","433","201504021200","0","3","0"
"R1_MN008","433","201504021300","0","3","0"
"R1_MN008","433","201504021400","0.1","3","0"
"R1_MN008","433","201504021500","1","3","0"
"R1_MN008","433","201504021600","0","3","0"
"R1_MN008","433","201504021700","0.1","3","0"
"R1_MN008","433","201504021800","0","3","0"
"R1_MN008","433","201504021900","0","3","0"
"R1_MN008","433","201504022000","0","3","0"
"R1_MN008","433","201504022100","0.7","3","0"
"R1_MN008","433","201504022200","0.9","3","0"
"R1_MN008","433","201504022300","0.1","3","0"
"R1_MN008","433","201504030000","0","3","0"
"R1_MN008","433","201504030100","0","3","0"
"R1_MN008","433","201504030200","0","3","0"
"R1_MN008","433","201504030300","0","3","0"
"R1_MN008","433","201504030400","0","3","0"
"R1_MN008","433","201504030500","0","3","0"
"R1_MN008","433","201504030600","0","3","0"
"R1_MN008","433","201504030700","0","3","0"
"R1_MN008","433","201504030800","0","3","0"
"R1_MN008","433","201504030900","0","3","0"
"R1_MN008","433","201504031000","0","3","0"
"R1_MN008","433","201504031100","0","3","0"
"R1_MN008","433","201504031200","0","3","0"
"R1_MN008","433","201504031300","0","3","0"
"R1_MN008","433","201504031400","0","3","0"
"R1_MN008","433","201504031500","0","3","0"
"R1_MN008","433","201504031600","0","3","0"
"R1_MN008","433","201504031700","0","3","0"
"R1_MN008","433","201504031800","0","3","0"
"R1_MN008","433","201504031900","0","3","0"
"R1_MN008","433","201504032000","0","3","0"
"R1_MN008","433","201504032100","0","3","0"
"R1_MN008","433","201504032200","0","3","0"
"R1_MN008","433","201504032300","0","3","0"
"R1_MN008","433","201504040000","0","3","0"
"R1_MN008","433","201504040100","0","3","0"
"R1_MN008","433","201504040200","0","3","0"
"R1_MN008","433","201504040300","0","3","0"
"R1_MN008","433","201504040400","0","3","0"
"R1_MN008","433","201504040500","0","3","0"
"R1_MN008","433","201504040600","0","3","0"
"R1_MN008","433","201504040700","0","3","0"
"R1_MN008","433","201504040800","0","3","0"
"R1_MN008","433","201504040900","0","3","0"
"R1_MN008","433","201504041000","0","3","0"
"R1_MN008","433","201504041100","0","3","0"
"R1_MN008","433","201504041200","0","3","0"
"R1_MN008","433","201504041300","0.1","3","0"
"R1_MN008","433","201504041400","0","3","0"
"R1_MN008","433","201504041500","0.1","3","0"
"R1_MN008","433","201504041600","0","3","0"
"R1_MN008","433","201504041700","0","3","0"
"R1_MN008","433","201504041800","0","3","0"
"R1_MN008","433","201504041900","0","3","0"
"R1_MN008","433","201504042000","0","3","0"
"R1_MN008","433","201504042100","0","3","0"
"R1_MN008","433","201504042200","0","3","0"
"R1_MN008","433","201504042300","0","3","0"
"R1_MN008","433","201504050000","0","3","0"
"R1_MN008","433","201504050100","0","3","0"
"R1_MN008","433","201504050200","0","3","0"
"R1_MN008","433","201504050300","0","3","0"
