"Produkt_Code","SDO_ID","Zeitstempel","Wert","Qualitaet_Niveau","Qualitaet_Byte"
"TT_TU_MN009","433","201504052100","3.5","7","1"
"TT_TU_MN009","433","201504052200","3.6","7","1"
"TT_TU_MN009","433","201504052300","2.3","7","1"
"TT_TU_MN009","433","201504060000","2.6","7","1"
"TT_TU_MN009","433","201504060100","3.7","7","1"
"TT_TU_MN009","433","201504060200","3.4","7","1"
"TT_TU_MN009","433","201504060300","3.5","7","1"
"TT_TU_MN009","433","201504060400","3.2","7","1"
"TT_TU_MN009","433","201504060500","2.3","7","1"
"TT_TU_MN009","433","201504060600","3","7","1"
"TT_TU_MN009","433","201504060700","4.4","7","1"
"TT_TU_MN009","433","201504060800","5.8","7","1"
"TT_TU_MN009","433","201504060900","6.5","7","1"
"TT_TU_MN009","433","201504061000","7","7","1"
"TT_TU_MN009","433","201504061100","7.3","7","1"
"TT_TU_MN009","433","201504061200","7.7","7","1"
"TT_TU_MN009","433","201504061300","8.2","7","1"
"TT_TU_MN009","433","201504061400","8.9","7","1"
"TT_TU_MN009","433","201504061500","8.3","7","1"
"TT_TU_MN009","433","201504061600","8.3","7","1"
"TT_TU_MN009","433","201504061700","7.7","7","1"
"TT_TU_MN009","433","201504061800","7.2","7","1"
"TT_TU_MN009","433","201504061900","6.4","7","1"
"TT_TU_MN009","433","201504062000","5.6","7","1"
"TT_TU_MN009","433","201504062100","4.4","7","1"
"TT_TU_MN009","433","201504062200","2.9","7","1"
"TT_TU_MN009","433","201504062300","2.2","7","1"
"TT_TU_MN009","433","201504070000","1.5","7","1"
"TT_TU_MN009","433","201504070100","0.5","7","1"
"TT_TU_MN009","433","201504070200","0.8","7","1"
"TT_TU_MN009","433","201504070300","-0.3","7","1"
"TT_TU_MN009","433","201504070400","0.2","7","1"
"TT_TU_MN009","433","201504070500","1","7","1"
"TT_TU_MN009","433","201504070600","2.5","7","1"
"TT_TU_MN009","433","201504070700","4.7","7","1"
"TT_TU_MN009","433","201504070800","6.1","7","1"
"TT_TU_MN009","433","201504070900","8.1","7","1"
"TT_TU_MN009","433","201504071000","9.6","7","1"
"TT_TU_MN009","433","201504071100","10.5","7","1"
"TT_TU_MN009","433","201504071200","12.4","7","1"
"TT_TU_MN009","433","201504071300","12.3","7","1"
"TT_TU_MN009","433","201504071400","11.9","7","1"
"TT_TU_MN009","433","201504071500","11.5","7","1"
"TT_TU_MN009","433","201504071600","11.2","7","1"
"TT_TU_MN009","433","201504071700","10.5","7","1"
"TT_TU_MN009","433","201504071800","10.1","7","1"
"TT_TU_MN009","433","201504071900","9.4","7","1"
"TT_TU_MN009","433","201504072000","9.2","7","1"
"TT_TU_MN009","433","201504072100","9.1","7","1"
"TT_TU_MN009","433","201504072200","9.2","7","1"
"TT_TU_MN009","433","201504072300","8.8","7","1"
"TT_TU_MN009","433","201504080000","7.9","7","1"
"TT_TU_MN009","433","201504080100","7.6","7","1"
"TT_TU_MN009","433","201504080200","7.4","7","1"
"TT_TU_MN009","433","201504080300","7.2","7","1"
"TT_TU_MN009","433","201504080400","7.3","7","1"
"TT_TU_MN009","433","201504080500","7.3","7","1"
"TT_TU_MN009","433","201504080600","7.1","7","1"
"TT_TU_MN009","433","201504080700","7","7","1"
"TT_TU_MN009","433","201504080800","7","7","1"
"TT_TU_MN009","433","201504080900","7.1","7","1"
"TT_TU_MN009","433","201504081000","7.4","7","1"
"TT_TU_MN009","433","201504081100","8.1","7","1"
"TT_TU_MN009","433","201504081200","8.7","7","1"
"TT_TU_MN009","433","201504081300","9.1","7","1"
"TT_TU_MN009","433","201504081400","9.9","7","1"
"TT_TU_MN009","433","201504081500","10.1","7","1"
"TT_TU_MN009","433","201504081600","10.2","7","1"
"TT_TU_MN009","433","201504081700","10.3","7","1"
"TT_TU_MN009","433","201504081800","9.9","7","1"
"TT_TU_MN009","433","201504081900","9.7","7","1"
"TT_TU_MN009","433","201504082000","9","7","1"
"TT_TU_MN009","433","201504082100","8.3","7","1"
"TT_TU_MN009","433","201504082200","7.4","7","1"
"TT_TU_MN009","433","201504082300","6.2","7","1"
"TT_TU_MN009","433","201504090000","5.8","7","1"
"TT_TU_MN009","433","201504090100","4.2","7","1"
"TT_TU_MN009","433","201504090200","3.9","7","1"
"TT_TU_MN009","433","201504090300","3","7","1"
"TT_TU_MN009","433","201504090400","3.9","7","1"
"TT_TU_MN009","433","201504090500","4.3","7","1"
"TT_TU_MN009","433","201504090600","5.6","7","1"
"TT_TU_MN009","433","201504090700","7.1","7","1"
"TT_TU_MN009","433","201504090800","8.5","7","1"
"TT_TU_MN009","433","201504090900","10.3","7","1"
"TT_TU_MN009","433","201504091000","11.7","7","1"
"TT_TU_MN009","433","201504091100","12.5","7","1"
"TT_TU_MN009","433","201504091200","13.9","7","1"
"TT_TU_MN009","433","201504091300","14.3","7","1"
"TT_TU_MN009","433","201504091400","14.9","7","1"
"TT_TU_MN009","433","201504091500","15.4","7","1"
"TT_TU_MN009","433","201504091600","15.8","7","1"
"TT_TU_MN009","433","201504091700","15.5","7","1"
"TT_TU_MN009","433","201504091800","14.8","7","1"
"TT_TU_MN009","433","201504091900","13.7","7","1"
"TT_TU_MN009","433","201504092000","12.7","7","1"
"TT_TU_MN009","433","201504092100","11.6","7","1"
"TT_TU_MN009","433","201504092200","9.2","7","1"
"TT_TU_MN009","433","201504092300","7.8","7","1"
"TT_TU_MN009","433","201504100000","7.3","7","1"
"TT_TU_MN009","433","201504100100","6.4","7","1"
"TT_TU_MN009","433","201504100200","6.4","7","1"
"TT_TU_MN009","433","201504100300","5.4","7","1"
"TT_TU_MN009","433","201504100400","5.9","7","1"
"TT_TU_MN009","433","201504100500","5","7","1"
"TT_TU_MN009","433","201504100600","5.8","7","1"
"TT_TU_MN009","433","201504100700","9.8","7","1"
"TT_TU_MN009","433","201504100800","12.7","7","1"
"TT_TU_MN009","433","201504100900","14.9","7","1"
"TT_TU_MN009","433","201504101000","16.1","7","1"
"TT_TU_MN009","433","201504101100","17.4","7","1"
"TT_TU_MN009","433","201504101200","18.5","7","1"
"TT_TU_MN009","433","201504101300","20.1","7","1"
"TT_TU_MN009","433","201504101400","19.9","7","1"
